ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_ID,origLat,origLong,comment,glottocode_comment,region
Ei18,Palaung,23,97,shwe1236,Palaung (Ei18),xd705,,1920,,,23,97,Original,"Note 8Feb2018: HH notes that it is unusual that an ethnography by Lowis be associated with [pll] rather than Rumai [rbb]. However, EA focus is “Katurr subtribe,” and this group was the focus of Milne's work. They are described as living “in or near Namhsan”. Her dictionary deals mainly with the dialect of Namhsan >> Shwe Palaung >> [pll]. Thus, I have left the language as [pll], assuming Lowis' work was used for context. However, users should be aware that this case may combine data for groups speaking different Palaung languages.",Indo-China
Ei19,Chin,22,94,asho1236,Chin (Ei19),xd706,Khyang,1940,,,22,94,Original,"Note 8Feb2018: Changed based on note from HH: Bernot's Khyang is ""Khyang of Gongru village rattachent au groupe des Chin du Sud etudies par Houghton"" = Asho Chin [csh]",Indo-China
Ei2,Lhota,27,94,loth1237,Lhota (Ei2),xd707,,1920,,,27,94,Original,,Indian Subcontinent
Ei20,Kuki,23,92,lush1249,Kuki (Ei20),xd708,Chin; Mizo; Kuki,1940,,,23,92,Original,,Indian Subcontinent
Ei3,Burmese,20,95,nucl1310,Burmese (Ei3),xd709,Bamar people,1950,Burmans (AP04),AP04,20,95,Original,,Indo-China
Ac5,Lamba,-13,28,lamb1271,Lamba (Ac5),xd71,Balamba; Walamba,1920,,,-13,28,Original,,South Tropical Africa
Ei4,Maras,22,93,mara1382,Lakher (Ei4),xd710,Lakher,1930,,,22,93,Original,,Indo-China
Ei5,Kachin,26,97,kach1280,Kachin (Ei5),xd711,,1940,Kachin (AP06),AP06,26,97,Original,,Indo-China
Ei6,Purum,25,94,puru1266,Purum (Ei6),xd712,,1930,,,25,94,Original,,Indian Subcontinent
Ei7,Karen,17.12,97.19,pwow1235,Karen (Ei7),xd713,,1910,Karen (AP07),AP07,17,97,Revised,,Indo-China
Ei8,Khasi,26,92,khas1269,Khasi (Ei8),xd714,,1900,Khasi (AR07),AR07,26,92,Original,,Indian Subcontinent
Ei9,Mogh,20.49,92.64,rakh1245,Mogh (Ei9),xd715,Marma; Morma; Mog; Magh,1880,,,20,92,Revised,,Indo-China
Ej1,Lamet,20,101,lame1256,Lamet (Ej1),xd716,,1940,,,20,101,Original,,Indo-China
Ej10,Rade,13,108,rade1240,Rhade (Ej10),xd717,Rhade,1950,,,13,108,Original,,Indo-China
Ej11,Cham,11,108,east2563,Cham (Ej11),xd718,,1950,,,11,108,Original,,Indo-China
Ej12,Lawa,18,98,west2396,Lawa (Ej12),xd719,Lua,1960,,,18,98,Original,,Indo-China
Ac6,Ndembu,-11,26,lund1266,Ndembu (Ac6),xd72,Andembu; Southern Lunda,1930,,,-11,26,Original,,West-Central Tropical Africa
Ej13,Muong,21,105,muon1246,Muong (Ej13),xd720,,1940,,,21,105,Original,,Indo-China
Ej14,Senoi,4,102,sema1266,Senoi (Ej14),xd721,,1960,Semai (AN06),AN06,4,102,Original,,Malesia
Ej15,Ancient Khmer,13,104,oldk1249,Khmer (Ej15),xd722,Khmer,1292,,,13,104,Original,"Changed to [oldk1249][qok] by kk on 5Sept2018. Note, this change may not be incorporated to Bouckaert/Atkinson global tree because of timing of correction.",Indo-China
Ej16,Negri Sembilan,2.58,102.25,nege1240,Negri Sembilan (Ej16),xd723,Negeri Sembilan,1958,,,21,102,Original,,Malesia
Ej2,Mnong Gar,12,107,east2333,Mnong Gar (Ej2),xd724,,1940,,,12,107,Original,,Indo-China
